"Sample","20230511_IARPA_ST_TCX_TL_ALL_024_sample 006","20230511_IARPA_ST_TCX_TL_ALL_026_sample 008","20230511_IARPA_ST_TCX_TL_ALL_081_sample 047","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d25_sham","1. d25_sham","1. d25_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a160","0.774681643","0.638424073","0.826495137","0.74574615","2.013288381","0.834323217"
"a161","0.760209092","0.745390447","1.456328837","0.905458911","2.127520804","0.948938382"
"a162","0.822249933","0.734789198","2.060742778","0.714610342","1.831320594","1.021103716"
"a163","0.767332328","0.795677213","1.595000097","0.904049005","1.696447675","0.896036583"
"a164","0.496024665","0.641911002","0.915996603","1.024583964","1.856850232","0.968250491"
"a165","1.107122236","0.816278571","1.162109098","0.723797799","1.524187474","0.985104856"
"a166","0.715731728","0.766963483","1.321178691","0.774082061","2.267487561","0.926940881"
"a167","0.968977696","0.894320961","1.911030335","0.839566796","1.790669171","0.693276877"
"a168","0.474757522","0.690389619","1.486098603","0.706276109","2.034650019","1.136711588"
"a169","0.807283775","1.179332962","1.700107461","0.845616727","1.568947648","0.883094038"
"a170","0.482005571","0.928029734","0.759611142","1.132321295","1.715241961","0.923914689"
"a171","0.57509838","1.220434282","1.50642894","0.945221409","2.208011748","0.99156387"
"a172","0.780523307","1.233469586","1.752846239","0.689519155","1.831897778","0.983236389"
"a173","0.18896953","0.666962236","1.910365625","0.379394974","1.004392705","0.568491845"
"a174","0.815434107","0.525044017","2.991689745","1.234329407","3.697770592","1.50342772"
"a175","1.132453305","1.518407987","1.8762495","1.265702052","2.103022596","1.568365783"
"a176","0.227142498","0.948944664","1.262848542","0.906791954","2.412095544","1.054154033"
"a177","0.64536163","1.259070708","1.272308367","1.862742123","1.935201397","0.686454645"
"a178","0.902422973","1.451910634","2.565747978","1.208263682","2.986689901","1.186085415"
"a179","0.519725941","1.078297055","2.081809262","0.868672556","2.699810778","1.506341792"
"a180","0.628788323","1.128051422","2.283246315","1.024052093","1.965416998","1.160355977"
